AS1.A1ModJulian           AS1.Hellas_Planitia_GS.X   AS1.Valles_Marineris_GS.X   AS1.Schiaparelli_Crater_GS.X   AS1.Mawrth_Vallis_GS.X    AS1.Arcadia_Planitia_GS.X   AS1.Hellas_Planitia_GS.Y   AS1.Hellas_Planitia_GS.Z   AS1.Valles_Marineris_GS.Y   AS1.Valles_Marineris_GS.Z   AS1.Schiaparelli_Crater_GS.Y   AS1.Schiaparelli_Crater_GS.Z   AS1.Mawrth_Vallis_GS.Y    AS1.Mawrth_Vallis_GS.Z    AS1.Arcadia_Planitia_GS.Y   AS1.Arcadia_Planitia_GS.Z   
21545.39444446599         5593.291551381838          2806.412041709546           957.8182393135476              -7805.962260706025        -7805.962260706025          18872.29982741467          -9423.259752926529         -17061.8905372506           -14559.16948304723          4523.270539200516              -23450.60411293351             -8028.919733348959        -20670.65102808619        -8028.919733348959          -20670.65102808619          
21545.40286393966         5585.241715063604          2810.675857483037           958.1005127845083              -7810.91497668376         -7810.91497668376           18884.77619011421          -9414.350828345137         -17058.46814650992          -14575.59919834491          4540.327685374667              -23453.57101608273             -8016.79649210046         -20681.97913712747        -8016.79649210046           -20681.97913712747          
21545.41126880462         5576.680571941188          2815.012918316006           958.360999583716               -7815.797217460108        -7815.797217460108          18897.10034469888          -9404.881104805725         -17054.32394077761          -14592.2985720945           4557.907323332231              -23455.96728352586             -8003.915837892506        -20693.1642206717         -8003.915837892506          -20693.1642206717           
21545.41966189884         5567.630170239278          2819.412737952741           958.5991695630901              -7820.597727198237        -7820.597727198237          18909.24379487786          -9394.8749463854           -17049.47032056618          -14609.22725537647          4575.966108443964              -23457.78934684858             -7990.310895123263        -20704.18043590421        -7990.310895123263          -20704.18043590421          
21545.42804153948         5558.118310775535          2823.86241877049            958.8144200119359              -7825.302943874109        -7825.302943874109          18921.17215793518          -9384.363064717141         -17043.92374811683          -14626.33564065567          4594.450307113928              -23459.03395043763             -7976.023409215069        -20714.99661149882        -7976.023409215069          -20714.99661149882          
21545.43640975158         5548.169589502393          2828.351019835779           959.0063124470071              -7829.901783500412        -7829.901783500412          18932.85725936981          -9373.372618418662         -17037.69998614427          -14643.58167809079          4613.313713293542              -23459.70001738958             -7961.090282855128        -20725.58721917867        -7961.090282855128          -20725.58721917867          
21545.4447666595          5537.811614809581          2832.866579902661           959.1744198028591              -7834.382423750905        -7834.382423750905          18944.26899583741          -9361.934082446764         -17030.8175394593           -14660.91941495237          4632.505366445328              -23459.78756095891             -7945.552916745424        -20735.92499419505        -7945.552916745424          -20735.92499419505          
21545.45311296835         5527.072029293858          2837.397500567581           959.3183902158862              -7838.733764479471        -7838.733764479471          18955.37903379154          -9350.077960144461         -17023.29590093745          -14678.30432187367          4651.975315725595              -23459.29804661841             -7929.452739030459        -20745.98428780969        -7929.452739030459          -20745.98428780969          
21545.46144920083         5515.979452788365          2841.932126526446           959.4379311489743              -7842.944998246614        -7842.944998246614          18966.15972112434          -9337.835822728592         -17015.1561504286           -14695.6916744744           4671.672844673876              -23458.23434341846             -7912.832618852992        -20755.74008179277        -7912.832618852992          -20755.74008179277          
21545.46977619519         5504.562708716297          2846.4590571067             959.5328159638616              -7847.00589782196         -7847.00589782196           18976.58482155006          -9325.239456989719         -17006.42037857508          -14713.03775136642          4691.547833780854              -23456.60063641883             -7895.735708488373        -20765.16865247263        -7895.735708488373          -20765.16865247263          
21545.47809578584         5492.849721145752          2850.967537948777           959.6028837887993              -7850.907120405695        -7850.907120405695          18986.63030511862          -9312.319649998111         -16997.11072741712          -14730.30133230839          4711.552551640571              -23454.40209495544             -7878.203794908736        -20774.24828348179        -7878.203794908736          -20774.24828348179          
21545.48640840323         5480.870867727604          2855.446150724906           959.6480160636127              -7854.639049904842        -7854.639049904842          18996.2713739017           -9299.109886704293         -16987.25200191148          -14747.43867577788          4731.635870592684              -23451.64542203971             -7860.282318755339        -20782.95657706604        -7860.282318755339          -20782.95657706604          
21545.49471520555         5468.655951007733          2859.884000862819           959.66815851974                -7858.192850753435        -7858.192850753435          19005.48516832492          -9285.643009845773         -16976.86932152585          -14764.40807189874          4751.748503380894              -23448.33837394568             -7842.015840471337        -20791.2729008317         -7842.015840471337          -20791.2729008317           
21545.50301699593         5456.235667399553          2864.27015128957            959.6633120070173              -7861.559978045919        -7861.559978045919          19014.24950531559          -9271.952840638527         -16965.98928690844          -14781.16767545972          4771.840492830135              -23444.49003440972             -7823.45023932537         -20799.17724701655        -7823.45023932537           -20799.17724701655          
21545.51131661442         5443.637977316019          2868.594877026656           959.6335258795904              -7864.733107263613        -7864.733107263613          19022.5453070552           -9258.070178018326         -16954.63672904388          -14797.68029549005          4791.86700533712               -23440.10958318414             -7804.627289022454        -20806.65242169016        -7804.627289022454          -20806.65242169016          
21545.5135420646          5440.233487995598          2869.742824842637           959.6213086625444              -7865.550053395167        -7865.550053395167          19024.68769905629          -9254.318938025983         -16951.51557408084          -14802.0612543179           4797.220030964435              -23438.84579527202             -7799.541752892987        -20808.58169975482        -7799.541752892987          -20808.58169975482          
