MSC.A1ModJulian,MSC.Hellas_Planitia_GS.X,MSC.Hellas_Planitia_GS.Y,MSC.Hellas_Planitia_GS.Z,MSC.Valles_Marineris_GS.X,MSC.Valles_Marineris_GS.Y,MSC.Valles_Marineris_GS.Z,MSC.Schiaparelli_Crater_GS.X,MSC.Schiaparelli_Crater_GS.Y,MSC.Schiaparelli_Crater_GS.Z,MSC.Mawrth_Vallis_GS.X,MSC.Mawrth_Vallis_GS.Y,MSC.Mawrth_Vallis_GS.Z,MSC.Arcadia_Planitia_GS.X,MSC.Arcadia_Planitia_GS.Y,MSC.Arcadia_Planitia_GS.Z
30988.71422,-1890.439505,-1812.474231,4243.106283,4211.667342,6799.193528,-4593.749584,3517.471749,4503.262405,2319.212389,4204.963115,6889.670467,-3240.533213,-750.0988117,-5588.262091,-9189.461814
30988.71839,-1135.499598,-1639.415948,4425.944171,4855.700052,6387.047448,-4373.135431,4212.377764,4300.096193,1988.845551,4750.795226,6512.89117,-3680.326112,-62.83332904,-5311.853681,-9480.284223
30988.72256,-378.0866534,-1429.444493,4536.521874,5454.318479,5908.913664,-4165.689362,4863.048266,4074.570518,1594.186362,5238.167546,6081.737518,-4134.819851,633.7793792,-5000.270594,-9698.54215
30988.72673,372.6199969,-1182.027911,4574.771297,6001.858658,5369.721285,-3976.719022,5462.552528,3831.98922,1138.129993,5660.700171,5602.397531,-4601.657955,1333.679259,-4659.384951,-9840.582973
30988.73089,1107.803408,-897.2407858,4541.394503,6493.339257,4774.994595,-3811.010392,6004.71557,3577.555564,624.2865189,6012.982989,5081.372787,-5078.25254,2030.833876,-4295.116243,-9903.797791
30988.73506,1818.688945,-575.9076833,4437.776821,6924.167079,4131.059636,-3672.861959,6483.814674,3316.411438,57.17310284,6290.367221,4525.630619,-5561.531407,2718.897468,-3913.513942,-9886.534804
30988.73923,2496.797271,-219.5771483,4265.977356,7290.292931,3444.879475,-3565.969232,6894.764492,3053.508459,-557.9038672,6489.117476,3942.425611,-6048.03697,3391.402699,-3520.604438,-9788.166909
30988.7434,3134.087325,169.5029729,4028.670696,7588.261814,2723.922967,-3493.35613,7233.187235,2793.509671,-1214.948069,6606.460669,3339.159957,-6533.976812,4041.863103,-3122.273012,-9609.086638
30988.74757,3722.881806,588.280708,3729.177613,7815.168146,1976.282763,-3457.335575,7495.372763,2540.786655,-1907.147219,6640.598515,2723.455606,-7015.113589,4663.65766,-2724.288457,-9350.765789
30988.75174,4256.176636,1033.026078,3371.36983,7968.802665,1210.371352,-3459.427195,7678.453657,2299.268019,-2627.132194,6590.802771,2102.875411,-7486.949191,5250.309032,-2332.097728,-9015.721271
